period_label,Year,Week,t,avgwaiting_time,baseline_waiting_time_ma12,deviation,flag_percentile_p90,flag_iqr,flag_ma_deviation,flag_robust_zscore_mad,n_methods_flagged,disruption_flag,detection_method
2021-W17,2021.0,17.0,121,15.0,13.0,2.0,False,False,False,False,0,False,robust_zscore_mad
2021-W18,2021.0,18.0,122,26.0,14.0,12.0,True,True,True,True,4,True,robust_zscore_mad
2021-W19,2021.0,19.0,123,31.0,16.0,15.0,True,True,True,True,4,True,robust_zscore_mad
2021-W20,2021.0,20.0,124,16.0,15.0,1.0,False,False,False,False,0,False,robust_zscore_mad
2021-W21,2021.0,21.0,125,8.0,15.0,-7.0,False,False,False,False,0,False,robust_zscore_mad
2021-W22,2021.0,22.0,126,7.0,14.0,-7.0,False,False,False,False,0,False,robust_zscore_mad
2021-W23,2021.0,23.0,127,10.0,14.0,-4.0,False,False,False,False,0,False,robust_zscore_mad
2021-W24,2021.0,24.0,128,15.0,15.0,0.0,False,False,False,False,0,False,robust_zscore_mad
2021-W25,2021.0,25.0,129,16.0,15.0,1.0,False,False,False,False,0,False,robust_zscore_mad
2021-W26,2021.0,26.0,130,26.0,17.0,9.0,True,True,True,True,4,True,robust_zscore_mad
2021-W27,2021.0,27.0,131,26.0,18.0,8.0,True,True,True,True,4,True,robust_zscore_mad
2021-W28,2021.0,28.0,132,30.0,19.0,11.0,True,True,True,True,4,True,robust_zscore_mad
2021-W29,2021.0,29.0,133,32.0,20.0,12.0,True,True,True,True,4,True,robust_zscore_mad
2021-W30,2021.0,30.0,134,25.0,20.0,5.0,True,True,False,True,3,True,robust_zscore_mad
2021-W31,2021.0,31.0,135,12.0,19.0,-7.0,False,False,False,False,0,False,robust_zscore_mad
2021-W32,2021.0,32.0,136,9.0,18.0,-9.0,False,False,False,False,0,False,robust_zscore_mad
2021-W33,2021.0,33.0,137,12.0,18.0,-6.0,False,False,False,False,0,False,robust_zscore_mad
2021-W34,2021.0,34.0,138,7.0,18.0,-11.0,False,False,False,False,0,False,robust_zscore_mad
2021-W35,2021.0,35.0,139,9.0,18.0,-9.0,False,False,False,False,0,False,robust_zscore_mad
2021-W36,2021.0,36.0,140,12.0,18.0,-6.0,False,False,False,False,0,False,robust_zscore_mad
2021-W37,2021.0,37.0,141,12.0,18.0,-6.0,False,False,False,False,0,False,robust_zscore_mad
2021-W38,2021.0,38.0,142,12.0,16.0,-4.0,False,False,False,False,0,False,robust_zscore_mad
2021-W39,2021.0,39.0,143,12.0,15.0,-3.0,False,False,False,False,0,False,robust_zscore_mad
2021-W40,2021.0,40.0,144,20.0,14.0,6.0,True,False,False,False,1,False,robust_zscore_mad
2021-W41,2021.0,41.0,145,20.0,13.0,7.0,True,False,False,False,1,False,robust_zscore_mad
2021-W42,2021.0,42.0,146,27.0,14.0,13.0,True,True,True,True,4,True,robust_zscore_mad
2021-W43,2021.0,43.0,147,36.0,16.0,20.0,True,True,True,True,4,True,robust_zscore_mad
2021-W44,2021.0,44.0,148,30.0,17.0,13.0,True,True,True,True,4,True,robust_zscore_mad
2021-W45,2021.0,45.0,149,23.0,18.0,5.0,True,True,False,False,2,False,robust_zscore_mad
2021-W46,2021.0,46.0,150,11.0,19.0,-8.0,False,False,False,False,0,False,robust_zscore_mad
2021-W47,2021.0,47.0,151,7.0,19.0,-12.0,False,False,False,False,0,False,robust_zscore_mad
2021-W48,2021.0,48.0,152,11.0,18.0,-7.0,False,False,False,False,0,False,robust_zscore_mad
2021-W49,2021.0,49.0,153,6.0,18.0,-12.0,False,False,False,False,0,False,robust_zscore_mad
2021-W50,2021.0,50.0,154,7.0,18.0,-11.0,False,False,False,False,0,False,robust_zscore_mad
2021-W51,2021.0,51.0,155,7.0,17.0,-10.0,False,False,False,False,0,False,robust_zscore_mad
2021-W52,2021.0,52.0,156,7.0,16.0,-9.0,False,False,False,False,0,False,robust_zscore_mad
2021-W53,2021.0,53.0,157,9.0,15.0,-6.0,False,False,False,False,0,False,robust_zscore_mad
2022-W01,2022.0,1.0,158,13.0,14.0,-1.0,False,False,False,False,0,False,robust_zscore_mad
2022-W02,2022.0,2.0,159,8.0,12.0,-4.0,False,False,False,False,0,False,robust_zscore_mad
2022-W03,2022.0,3.0,160,15.0,10.0,5.0,False,False,False,False,0,False,robust_zscore_mad
2022-W04,2022.0,4.0,161,10.0,9.0,1.0,False,False,False,False,0,False,robust_zscore_mad
2022-W05,2022.0,5.0,162,9.0,9.0,0.0,False,False,False,False,0,False,robust_zscore_mad
2022-W06,2022.0,6.0,163,12.0,9.0,3.0,False,False,False,False,0,False,robust_zscore_mad
2022-W07,2022.0,7.0,164,19.0,10.0,9.0,True,False,True,False,2,False,robust_zscore_mad
2022-W08,2022.0,8.0,165,19.0,11.0,8.0,True,False,True,False,2,False,robust_zscore_mad
2022-W09,2022.0,9.0,166,15.0,12.0,3.0,False,False,False,False,0,False,robust_zscore_mad
2022-W10,2022.0,10.0,167,6.0,12.0,-6.0,False,False,False,False,0,False,robust_zscore_mad
2022-W11,2022.0,11.0,168,6.0,12.0,-6.0,False,False,False,False,0,False,robust_zscore_mad
2022-W12,2022.0,12.0,169,5.0,11.0,-6.0,False,False,False,False,0,False,robust_zscore_mad
2022-W13,2022.0,13.0,170,7.0,11.0,-4.0,False,False,False,False,0,False,robust_zscore_mad
2022-W14,2022.0,14.0,171,5.0,11.0,-6.0,False,False,False,False,0,False,robust_zscore_mad
2022-W15,2022.0,15.0,172,9.0,10.0,-1.0,False,False,False,False,0,False,robust_zscore_mad
2022-W16,2022.0,16.0,173,6.0,10.0,-4.0,False,False,False,False,0,False,robust_zscore_mad
2022-W17,2022.0,17.0,174,5.0,9.0,-4.0,False,False,False,False,0,False,robust_zscore_mad
2022-W18,2022.0,18.0,175,9.0,9.0,0.0,False,False,False,False,0,False,robust_zscore_mad
2022-W19,2022.0,19.0,176,8.0,8.0,0.0,False,False,False,False,0,False,robust_zscore_mad
2022-W20,2022.0,20.0,177,6.0,7.0,-1.0,False,False,False,False,0,False,robust_zscore_mad
2022-W21,2022.0,21.0,178,5.0,6.0,-1.0,False,False,False,False,0,False,robust_zscore_mad
2022-W22,2022.0,22.0,179,5.0,6.0,-1.0,False,False,False,False,0,False,robust_zscore_mad
2022-W23,2022.0,23.0,180,6.0,6.0,0.0,False,False,False,False,0,False,robust_zscore_mad
2022-W24,2022.0,24.0,181,10.0,7.0,3.0,False,False,False,False,0,False,robust_zscore_mad
2022-W25,2022.0,25.0,182,13.0,7.0,6.0,False,False,False,False,0,False,robust_zscore_mad
2022-W26,2022.0,26.0,183,10.0,8.0,2.0,False,False,False,False,0,False,robust_zscore_mad
